INSL3	NOA
INSL6	NOA
INVS	PCD
IP6K1	NOA
IQCH	AST
IQCN	FF
ITPRID2	Globo
KASH5	NOA
KCNU1	AST
KCNU1	FF
KCTD19	NOA
KHDC3L	PreImpA
KISS1R	NOA
KIT	OG
KITLG	POF
KLHL10	NOA
KPNA7	PreImpA
LARS2	POF
LHB	NOA
LHB	POF
LHCGR	POF
LHX8	POF
LIG4	POF
LMNA	POF
LMTK2	NOA
LZTR1	OG
M1AP	NOA
MAD2L2	NOA
MAD2L2	OG
MAGEB4	NOA
MAJIN	NOA
MAMLD1	DSD
MAP3K1	OG
MAST2	NOA
MAX	OG
MBD4	OG
MCIDAS	PCD
MCM8	NOA
MCM8	POF
MCM9	NOA
MCM9	POF
MCMDC2	NOA
MDH2	OG
MEI1	NOA
MEI1	PreImpA
MEI4	NOA
MEIOB	NOA
MEIOC	NOA
MEN1	OG
MET	OG
MLH1	NOA
MLH1	OG
MLH3	NOA
MLH3	POF
MNS1	AST
MORC1	NOA
MOS	PreImpA
MOV10L1	NOA
MRE11	OG
MRPS22	POF
MSH2	OG
MSH3	OG
MSH4	NOA
MSH4	POF
MSH5	NOA
MSH5	POF
MSH6	OG
MUTYH	OG
MYBL1	NOA
MYRF	DSD
NANOS2	NOA
NANOS3	NOA
NANOS3	POF
NBN	OG
NBN	POF
NF1	OG
NF2	OG
NLRP2	PreImpA
NLRP3	NOA
NLRP5	PreImpA
NLRP7	PreImpA
NME8	PCD
NOBOX	POF
NOC4L	PreImpA
NOG	POF
NOP2	PreImpA
NPAS2	NOA
NR0B1	NOA
NR5A1	DSD
NR5A1	POF
NTHL1	OG
NUP107	POF
NUP210L	Macro
NUPR1	NOA
NUTM1	prePRM2
ODAD1	PCD
ODAD2	PCD
ODAD3	PCD
ODAD4	PCD
OFD1	PCD
OOEP	PreImpA
PABPN1	PreImpA
PADI6	PreImpA
PALB2	OG
PANK2	NOA
PARP2	NOA
PATL2	OMD
PATZ1	NOA
PBRM1	OG
PDHA2	NOA
PEX5	NOA
PGRMC1	POF
PHOX2B	OG
PIN1	NOA
PIWIL1	NOA
PIWIL2	NOA
PIWIL4	NOA
PKD1	AST
PLCZ1	FF
PLD6	NOA
PLK4	NOA
PLK4	PreImpA
PLXNA1	NOA
PMFBP1	Headless
PMM2	POF
PMS2	NOA
PMS2	OG
PNLDC1	NOA
POF1B	POF
POLD1	OG
POLE	OG
POLG	POF
POLH	OG
POLR3H	POF
POR	POF
POT1	OG
POU1F1	NOA
POU1F1	POF
POU5F1	POF
PRDM9	NOA
PRKAR1A	OG
PRLR	POF
PRM1	prePRM2
PRM2	prePRM2
PROK2	NOA
PROKR2	NOA
PROP1	NOA
PROP1	POF
PSMA8	prePRM2
PSMC3IP	NOA
PSMC3IP	POF
PTCH1	OG
PTEN	OG
QRICH2	MMAF
RAD21L1	NOA
RAD50	OG
RAD51	OG
RAD51C	OG
RAD51D	OG
RANBP1	NOA
RANBP2	NOA
RB1	OG
RBM5	NOA
RBMXL2	NOA
RCBTB1	POF
REC114	FF
REC114	PreImpA
REC8	NOA
REC8	POF
RECQL4	OG
RECQL4	POF
REST	OG
RET	OG
RFWD3	OG
RNF17	NOA
RNF17	POF
RNF212	NOA
RNF43	OG
RNF8	prePRM2
RPGR	PCD
RPTOR	POF
RSPH1	PCD
RSPH3	PCD
RSPH4A	PCD
RSPH9	PCD
RSPO1	DSD
SALL4	POF
SAMD4A	NOA
SBF1	NOA
SDHA	OG
SDHAF2	OG
SDHB	OG
SDHC	OG
SDHD	OG
SEMA3A	NOA
SEPTIN12	MMAF
SGO2	POF
SHOC1	NOA
SIAH1	NOA
SIX5	NOA
SLC25A11	OG
SLC4A2	NOA
SLC9C1	AST
SLX4	OG
SMAD4	OG
SMARCA4	OG
SMARCB1	OG
SMARCE1	OG
SMC1B	NOA
SMC1B	POF
SMCHD1	PreImpA
SNRPA1	NOA
SOHLH1	NOA
SOHLH1	POF
SOHLH2	NOA
SOHLH2	POF
SOX10	NOA
SOX2	NOA
SOX3	DSD
SOX30	NOA
SOX8	POF
SOX9	DSD
SPACA1	Globo
SPAG1	PCD
SPAG6	MMAF
SPATA16	Globo
SPATA16	OATS
SPATA20	Globo
SPATA22	NOA
SPATA48	NOA
SPEF2	MMAF
SPEF2	PCD
SPIDR	POF
SPINK2	NOA
SPO11	NOA
SPRED1	OG
SRD5A2	DSD
SRY	DSD
STAG3	NOA
STAG3	POF
STAR	POF
STK11	OG
STK33	MMAF
STK36	PCD
STRA8	NOA
STX2	NOA
SUFU	OG
SUN1	NOA
SUN5	Headless
SYCE1	NOA
SYCE1	POF
SYCE2	NOA
SYCE3	NOA
SYCP1	NOA
SYCP2	NOA
SYCP3	NOA
TACR3	NOA
TAF4B	NOA
TBPL1	NOA
TCTE1	MMAF
TDRD1	NOA
TDRD6	NOA
TDRD7	NOA
TDRD9	NOA
TDRKH	NOA
TENT5D	OATS
TERB1	NOA
TERB2	NOA
TEX10	NOA
TEX11	NOA
TEX12	NOA
TEX14	NOA
TEX15	NOA
TEX19	NOA
TEX33	NOA
TGFBR3	POF
TLE6	PreImpA
TLE6	FF
TMEM127	OG
TMEM203	NOA
TNFSF18	PreImpA
TNP1	prePRM2
TNP2	prePRM2
TOPAZ1	NOA
TP53	OG
TP63	POF
TRIM28	OG
TRIP13	FF
TRIP13	OMD
TSC1	OG
TSC1	POF
TSC2	OG
TSGA10	Headless
TTC21A	MMAF
TTC29	MMAF
TUBA4A	FF
TUBB8	OMD
TUBB8	POF
TUBB8	PreImpA
TWNK	POF
UBE2B	NOA
UBE2T	OG
