node	score
ENSG00000111254	0.003622178541967848
ENSG00000161973	0.004488962454757089
ENSG00000272514	0.003841710942087069
ENSG00000129646	0.0029743252071984744
ENSG00000141013	0.003071721237729025
ENSG00000174799	0.00325963372730228
ENSG00000147081	0.003055831392588831
ENSG00000185658	0.0028508484069620275
ENSG00000134874	0.00410501877524674
ENSG00000130413	0.003799278147234792
ENSG00000140623	0.0027370024921019825
ENSG00000135205	0.003767724801471113
ENSG00000181378	0.004558134709096893
ENSG00000159625	0.003645789873502434
ENSG00000168026	0.004270787908027649
ENSG00000120051	0.004510758969221846
ENSG00000157796	0.0029243593532289488
ENSG00000096872	0.005177560803517917
ENSG00000066185	0.003339908106655371
ENSG00000137473	0.004918958273841534
ENSG00000119661	0.0019463786391797795
ENSG00000109881	0.0008006753480683213
ENSG00000206530	0.003586054149716956
ENSG00000105792	0.004386853266467347
ENSG00000187775	0.003797076596181705
ENSG00000124721	0.002331387954563431
ENSG00000115423	0.003072227119650612
ENSG00000165164	0.0036434899662507966
ENSG00000152582	0.002777839600759393
ENSG00000139537	0.003091811168187644
ENSG00000142609	0.002004852940658506
ENSG00000158486	0.0030926082916942267
ENSG00000118690	0.0027387247150464276
ENSG00000188738	0.003072190279189517
ENSG00000077327	0.0027911796068179457
ENSG00000114841	0.003130757622228992
ENSG00000167646	0.0035002626478455347
ENSG00000179532	0.0021185486954017015
ENSG00000197653	0.003436577739347083
ENSG00000118997	0.0018628902109164046
ENSG00000157856	0.003244902108302892
