node	HC
ENSG00000183625	9.142857142857144
ENSG00000101307	9.992857142857142
ENSG00000204390	10.683333333333334
ENSG00000163060	14.000000000000002
ENSG00000135443	12.083333333333334
ENSG00000120156	10.633333333333333
ENSG00000240694	11.566666666666668
ENSG00000130529	9.78333333333333
ENSG00000100380	11.18333333333333
ENSG00000128713	8.909523809523813
ENSG00000196666	7.669047619047624
ENSG00000123612	9.059523809523812
ENSG00000085063	9.55952380952381
ENSG00000160055	9.616666666666665
ENSG00000197702	11.183333333333334
ENSG00000161888	10.7
ENSG00000135951	13.200000000000001
ENSG00000112877	12.483333333333336
ENSG00000173726	11.233333333333333
ENSG00000184058	8.809523809523812
ENSG00000134014	9.759523809523808
ENSG00000180616	8.816666666666668
ENSG00000110583	10.716666666666663
ENSG00000166592	11.366666666666664
ENSG00000177469	11.566666666666663
ENSG00000212900	11.833333333333336
ENSG00000085998	9.999999999999998
ENSG00000242028	10.883333333333331
ENSG00000167601	10.966666666666663
ENSG00000125998	8.859523809523811
ENSG00000188257	7.445238095238099
ENSG00000168411	10.016666666666666
ENSG00000132640	9.426190476190476
ENSG00000166780	10.25
ENSG00000110446	10.15952380952381
ENSG00000124571	11.483333333333334
ENSG00000173210	11.366666666666665
ENSG00000148053	11.566666666666665
ENSG00000198690	8.076190476190481
ENSG00000113369	11.783333333333333
ENSG00000141480	12.533333333333333
ENSG00000185189	10.149999999999999
ENSG00000135821	11.266666666666666
ENSG00000159685	10.366666666666665
ENSG00000214456	8.683333333333337
ENSG00000007520	8.892857142857144
ENSG00000169550	8.342857142857145
ENSG00000103024	10.192857142857141
ENSG00000134760	10.542857142857143
ENSG00000137441	8.526190476190479
ENSG00000082175	10.399999999999999
ENSG00000164877	11.683333333333334
ENSG00000184014	8.742857142857144
ENSG00000225950	10.566666666666665
ENSG00000118965	11.04285714285714
ENSG00000167720	9.076190476190478
ENSG00000099381	10.966666666666663
ENSG00000184465	8.29166666666667
ENSG00000167191	9.6
ENSG00000067334	11.033333333333331
ENSG00000204406	10.466666666666665
ENSG00000015171	11.983333333333333
ENSG00000118972	10.333333333333334
ENSG00000146006	9.283333333333333
ENSG00000139278	8.30952380952381
ENSG00000198265	12.066666666666668
ENSG00000162852	10.933333333333332
ENSG00000170577	9.792857142857141
ENSG00000197893	8.892857142857144
ENSG00000107859	8.308333333333337
ENSG00000157873	11.376190476190475
ENSG00000180198	11.45
ENSG00000109572	9.866666666666665
ENSG00000132874	10.816666666666666
ENSG00000099822	9.25952380952381
ENSG00000134551	7.029761904761908
ENSG00000084636	9.216666666666667
ENSG00000180801	8.742857142857144
ENSG00000101463	9.966666666666667
ENSG00000055147	10.466666666666667
ENSG00000186020	8.842857142857145
ENSG00000149179	12.283333333333335
ENSG00000106648	9.859523809523807
ENSG00000158089	10.276190476190477
ENSG00000140367	9.866666666666665
ENSG00000069018	8.159523809523813
ENSG00000178021	10.342857142857142
ENSG00000143158	10.6
ENSG00000185252	9.20952380952381
ENSG00000162630	0
ENSG00000156096	8.942857142857143
ENSG00000142949	11.349999999999998
ENSG00000173535	10.433333333333334
ENSG00000114388	10.599999999999996
ENSG00000249751	9.633333333333331
ENSG00000172780	7.9011904761904805
ENSG00000180488	8.900000000000002
ENSG00000197157	11.649999999999999
ENSG00000125875	9.276190476190477
ENSG00000146090	7.101190476190481
ENSG00000169877	10.633333333333335
ENSG00000175634	11.099999999999996
ENSG00000204414	8.759523809523811
ENSG00000153130	10.376190476190475
ENSG00000132704	9.359523809523811
ENSG00000214511	10.516666666666667
ENSG00000077254	10.7
ENSG00000131669	10.316666666666668
ENSG00000143546	11.633333333333333
ENSG00000101557	11.516666666666667
ENSG00000096433	10.766666666666664
ENSG00000104388	11.85
ENSG00000117407	10.049999999999999
ENSG00000170412	9.749999999999996
ENSG00000113569	13.116666666666667
ENSG00000129244	9.776190476190477
ENSG00000105193	11.016666666666664
