node	score
ENSG00000065559	0.0031878179289937456
ENSG00000128591	0.0037797957084185273
ENSG00000077522	0.01692225287141859
ENSG00000138347	0.0016770678946866236
ENSG00000179348	0.0008178145044676736
ENSG00000140464	0.0055504572703804055
ENSG00000143761	0.0027666954447502132
ENSG00000125447	0.0016613268188244183
ENSG00000132254	0.0040720234908330445
ENSG00000134287	0.00031343137634030465
ENSG00000164144	0.0018666476130510367
ENSG00000149925	0.0008986719855267425
ENSG00000114127	0.0029348295896453372
ENSG00000173406	0.0033655504599842453
ENSG00000105290	0.0020636126538258544
ENSG00000137203	0.0010199010070961992
ENSG00000164442	0.0007069659172803345
ENSG00000084674	0.0006317368776008042
ENSG00000138823	0.0003024918409884609
ENSG00000141480	0.010191762414343806
ENSG00000160271	0.0010834119443181513
ENSG00000175324	0.0024378822999684847
ENSG00000134440	0.00020671503108423772
ENSG00000123159	0.004525015222544742
ENSG00000043591	0.0010266449414295755
ENSG00000099889	8.863465092714792e-05
ENSG00000129910	0.00046304966471227116
ENSG00000014216	0.002285807347974681
ENSG00000143801	0.004285978311150755
ENSG00000092529	0.0029599281173362463
ENSG00000155657	0.013025707664905075
ENSG00000178538	0.0007519843083176801
ENSG00000150995	0.000769873012293753
ENSG00000170275	0.0004470217042102537
ENSG00000139687	0.006877346644981505
ENSG00000073111	0.0021052930921976725
ENSG00000085840	0.001370018157400131
ENSG00000115947	0.00134587175832612
ENSG00000100297	0.00117844358182702
ENSG00000097046	0.00183255990106725
ENSG00000115942	0.001888705459757574
ENSG00000006634	0.0011018853077532067
ENSG00000105127	0.0017080502451161455
ENSG00000164815	0.001755708662023344
ENSG00000112118	0.0022542939318696696
ENSG00000080839	0.0012442144153189372
ENSG00000101773	0.0021474127283033764
ENSG00000108821	0.0009214690469134564
ENSG00000146674	0.0010053658098549616
ENSG00000112576	0.0026474909767139863
ENSG00000178982	0.00071171047603895
ENSG00000134057	0.0018808433451638676
ENSG00000017797	0.01056963038225237
ENSG00000140443	0.0076485872105048576
ENSG00000103653	0.001895736027145269
ENSG00000143437	0.0013432650687542238
ENSG00000159263	0.0007005917403086609
ENSG00000112246	9.457911243324062e-05
ENSG00000174576	0.00048363634543833225
ENSG00000182004	0.0019793579872433597
ENSG00000170860	0.002410030005669569
ENSG00000130520	0.0033425466035696553
ENSG00000106355	0.0037202604389646758
ENSG00000159023	0.0031386535119769213
ENSG00000137497	0.0035261584242365857
ENSG00000104529	0.002909962097979843
ENSG00000126777	0.00487115634244196
ENSG00000171560	0.0019800319372496617
ENSG00000204469	0.003493793213897691
ENSG00000137218	0.006456995736806417
ENSG00000077782	0.002569431296299553
ENSG00000170296	0.0021962285202424044
ENSG00000113327	0.00026619877863688434
ENSG00000163581	0.00018402349455054107
ENSG00000182481	0.009117637877659441
ENSG00000181856	0.00012532664285088883
ENSG00000204209	0.013155312965106882
ENSG00000128266	0.0003892302815888817
ENSG00000171700	0.0005459349201134396
ENSG00000087258	0.0011298390671978357
ENSG00000114353	0.0015490356813616024
ENSG00000065135	0.0031981966743336097
