node	score
ENSG00000111254	0.0006057185382413771
ENSG00000161973	0.00067071116470048
ENSG00000272514	0.0029291477255929416
ENSG00000129646	0.0006947404298642921
ENSG00000141013	0.01708919939129477
ENSG00000174799	0.07692439647856116
ENSG00000147081	0.0002370183609907736
ENSG00000185658	0.0019093782860787098
ENSG00000134874	0.0006946684435744892
ENSG00000130413	0.00017585700055305732
ENSG00000140623	0.004336022106853888
ENSG00000135205	0.013106420509442482
ENSG00000181378	0.0003708450377009064
ENSG00000159625	0.00029796233756554104
ENSG00000168026	0.00031314962951521636
ENSG00000120051	0.0005110116807073271
ENSG00000157796	0.0029274607819534536
ENSG00000096872	0.007199609071281909
ENSG00000066185	0.5286606244866681
ENSG00000137473	0.008530736422979666
ENSG00000119661	2.5088367952392446e-05
ENSG00000109881	3.270097157111633e-05
ENSG00000206530	0.000359292342475273
ENSG00000105792	0.0006545304769133933
ENSG00000187775	2.5670604166167117e-05
ENSG00000124721	3.3293114965119924e-05
ENSG00000115423	0.0003282233980083246
ENSG00000165164	4.9126386755376745e-05
ENSG00000152582	0.0004142138119957007
ENSG00000139537	0.0007983180312457794
ENSG00000142609	7.857810360242943e-05
ENSG00000158486	0.0007245870844660827
ENSG00000118690	2.385995098918755e-05
ENSG00000188738	0.0003694079361436654
ENSG00000077327	0.00011775885301878415
ENSG00000114841	0.0003548075918862448
ENSG00000167646	0.000183124514793968
ENSG00000179532	0.00011417501637213975
ENSG00000197653	0.00021741700179320298
ENSG00000118997	5.850757813664194e-05
ENSG00000157856	6.743099562855022e-05
